variant,pct,price_lambda,stage1_precision,stage1_day_recall,stage1_event_recall,gt_days_per_event,oos_samples,positive_rate,auc_roc,auc_pr,precision,recall,event_recall,selected_premium_median,selected_count
v3_n2_stored_oos,0.012,0.0,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.5731979735466182,0.4031800443681196,0.4093655589123867,0.5519348268839104,0.6090909090909091,0.002825361558152162,662
spatial,0.012,0.0,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.7201900727908735,0.526056426678567,0.5044776119402985,0.6883910386965377,0.6181818181818182,0.003313094272256234,670
spatial,0.012,0.25,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.7192123368700387,0.5235238253140941,0.5044910179640718,0.6863543788187373,0.6227272727272727,0.0033280437294034293,668
spatial,0.012,0.5,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.7212130420461241,0.5296256348516375,0.49560117302052786,0.6883910386965377,0.6136363636363636,0.0033298092654229228,682
spatial,0.012,1.0,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.7181545727421607,0.5253625760333371,0.4970845481049563,0.6945010183299389,0.6409090909090909,0.0031662578269773256,686
spatial,0.012,2.0,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.7201459992855452,0.5243566897725535,0.4948905109489051,0.6904276985743381,0.65,0.0031662578269773256,685
spatial,0.012,4.0,0.35865595325054783,0.4554730983302412,0.75,4.9,1369,0.35865595325054783,0.7174598351186968,0.5221410930692088,0.49782293178519593,0.6985743380855397,0.6545454545454545,0.0031662578269773256,689
v3_n2_temporal,0.015,0.0,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.5674325859883746,0.47479616964080956,0.4608433734939759,0.5275862068965518,0.6454545454545455,0.004302226546624599,664
v3_n2_stored_oos,0.015,0.0,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.5610014859490406,0.4701653172094964,0.4652567975830816,0.5310344827586206,0.6363636363636364,0.004302226546624599,662
spatial,0.015,0.0,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.6982419911717145,0.582903881940914,0.5687789799072643,0.6344827586206897,0.5681818181818182,0.004647963077282546,647
spatial,0.015,0.25,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.7008773654997597,0.5867920181336603,0.573394495412844,0.646551724137931,0.5954545454545455,0.004868953668552223,654
spatial,0.015,0.5,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.702051920807657,0.5932343668958288,0.5784615384615385,0.6482758620689655,0.5909090909090909,0.004628220636025193,650
spatial,0.015,1.0,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.7017733053625279,0.5854594204184814,0.5746606334841629,0.656896551724138,0.6,0.004623010100366365,663
spatial,0.015,2.0,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.6993925090686596,0.5807667874972515,0.5683890577507599,0.6448275862068965,0.5909090909090909,0.004628220636025193,658
spatial,0.015,4.0,0.42366691015339664,0.4305864884929473,0.7545454545454545,6.122727272727273,1369,0.42366691015339664,0.699035225733141,0.577665903850833,0.572901325478645,0.6706896551724137,0.6227272727272727,0.004604291723450116,679
